year,country,player,position,overall,canKick
2023,Namibie,Adriaan Booysen  ,TroisiemeLigneAile,59,false
2023,Namibie,Wian Conradie,TroisiemeLigneAile,71,false
2023,Namibie,Prince Gaoseb,TroisiemeLigneAile,56,false
2023,Namibie,Richard Hardwick,TroisiemeLigneAile,72,false
2023,Namibie,Max Katjijeko,TroisiemeLigneCentre,61,false
2023,Namibie,Johan Retief,TroisiemeLigneCentre,55,false
2023,Namibie,Oela Blaauw,DemiDeMelee,65,false
2023,Namibie,Damian Stevens,DemiDeMelee,61,false
2023,Namibie,Jacques Theron,DemiDeMelee,52,false
2023,Namibie,Helarius Kisting,DemiOuverture,64,true
2023,Namibie,Tiaan Swanepoel,DemiOuverture,70,true
2023,Namibie,Andre van den Berg  ,DemiOuverture,52,true
2023,Namibie,Danco Burger,Centre,63,false
2023,Namibie,Johan Deysel  ,Centre,73,false
2023,Namibie,Le Roux Malan  ,Centre,68,false
2023,Namibie,JC Greyling  ,Ailier,66,false
2023,Namibie,Alcino Izaacs  ,Ailier,63,false
2023,Namibie,Gerswin Mouton,Ailier,64,false
2023,Namibie,Chad Plato    ,Ailier,58,false
2023,Namibie,Divan Rossouw  ,Ailier,55,false
2023,Namibie,Lloyd Jacobs,Arriere,61,false
2023,Namibie,Cliven Loubser,Arriere,70,true
2023,Nouvelle_Zélande,Ethan de Groot,Pilier,88,false
2023,Nouvelle_Zélande,Tyrel Lomax,Pilier,88,false
2023,Nouvelle_Zélande,Fletcher Newell,Pilier,85,false
2023,Nouvelle_Zélande,Nepo Laulala,Pilier,83,false
2023,Nouvelle_Zélande,Ofa Tu'ungafasi,Pilier,81,false
2023,Nouvelle_Zélande,Tamaiti Williams,Pilier,77,false
2023,Nouvelle_Zélande,Dane Coles,Talonneur,90,false
2023,Nouvelle_Zélande,Samisoni Taukei'aho,Talonneur,87,false
2023,Nouvelle_Zélande,Codie Taylor,Talonneur,90,false
2023,Nouvelle_Zélande,Scott Barrett,DeuxiemeLigne,89,false
2023,Nouvelle_Zélande,Brodie Retallick,DeuxiemeLigne,92,false
2023,Nouvelle_Zélande,Tupou Vaa'i,DeuxiemeLigne,80,false
2023,Nouvelle_Zélande,Sam Whitelock,DeuxiemeLigne,92,false
2023,Nouvelle_Zélande,Ethan Blackadder,TroisiemeLigneAile,85,false
2023,Nouvelle_Zélande,Sam Cane  ,TroisiemeLigneAile,90,false
2023,Nouvelle_Zélande,Shannon Frizell,TroisiemeLigneAile,87,false
2023,Nouvelle_Zélande,Luke Jacobson,TroisiemeLigneAile,83,false
2023,Nouvelle_Zélande,Dalton Papali'i,TroisiemeLigneAile,86,false
2023,Nouvelle_Zélande,Ardie Savea,TroisiemeLigneCentre,98,false
2023,Nouvelle_Zélande,Finlay Christie,DemiDeMelee,91,false
2023,Nouvelle_Zélande,Cam Roigard,DemiDeMelee,83,false
2023,Nouvelle_Zélande,Aaron Smith,DemiDeMelee,91,false
2023,Nouvelle_Zélande,Beauden Barrett,DemiOuverture,92,true
2023,Nouvelle_Zélande,Damian McKenzie,DemiOuverture,88,true
2023,Nouvelle_Zélande,Richie Mo'unga,DemiOuverture,92,true
2023,Nouvelle_Zélande,Jordie Barrett,Centre,92,true
2023,Nouvelle_Zélande,David Havili,Centre,86,true
2023,Nouvelle_Zélande,Rieko Ioane,Centre,89,false
2023,Nouvelle_Zélande,Anton Lienert-Brown,Centre,86,false
2023,Nouvelle_Zélande,Caleb Clarke,Ailier,90,false
2023,Nouvelle_Zélande,Leicester Fainga'anuku,Ailier,91,false
2023,Nouvelle_Zélande,Emoni Narawa  ,Ailier,82,false
2023,Nouvelle_Zélande,Mark Telea,Ailier,89,false
2023,Nouvelle_Zélande,Will Jordan,Arriere,97,false
2023,Uruguay,Diego Arbelo  ,Pilier,65,false
2023,Uruguay,Matías Benítez  ,Pilier,67,false
2023,Uruguay,Ignacio Péculo  ,Pilier,62,false
2023,Uruguay,Reinaldo Piussi,Pilier,60,false
2023,Uruguay,Mateo Sanguinetti,Pilier,58,false
2023,Uruguay,Facundo Gattas,Talonneur,69,false
2023,Uruguay,Germán Kessler,Talonneur,62,false
2023,Uruguay,Guillermo Pujadas  ,Talonneur,58,false
2023,Uruguay,Felipe Aliaga  ,DeuxiemeLigne,67,false
2023,Uruguay,Ignacio Dotti,DeuxiemeLigne,64,false
2023,Uruguay,Manuel Leindekar,DeuxiemeLigne,61,false
2023,Uruguay,Juan Manuel Rodríguez,DeuxiemeLigne,61,false
2023,Uruguay,Manuel Ardao,TroisiemeLigneAile,81,false
2023,Uruguay,Lucas Bianchi  ,TroisiemeLigneAile,66,false
2023,Uruguay,Santiago Civetta  ,TroisiemeLigneAile,65,false
2023,Uruguay,Eric Dosantos  ,TroisiemeLigneAile,59,false
2023,Uruguay,Carlos Deus,TroisiemeLigneCentre,70,false
2023,Uruguay,Manuel Diana,TroisiemeLigneCentre,59,false
2023,Uruguay,Santiago Álvarez,DemiDeMelee,71,false
2023,Uruguay,Santiago Arata,DemiDeMelee,80,true
2023,Uruguay,Agustín Ormaechea,DemiDeMelee,62,false
2023,Uruguay,Felipe Berchesi,DemiOuverture,67,true
2023,Uruguay,Felipe Etcheverry,DemiOuverture,78,true
2023,Uruguay,Felipe Arcos Pérez  ,Centre,71,false
2023,Uruguay,Nicolás Freitas,Centre,76,false
2023,Uruguay,Tomás Inciarte,Centre,62,false
2023,Uruguay,Andrés Vilaseca  ,Centre,77,false
2023,Uruguay,Juan Manuel Alonso,Ailier,68,false
2023,Uruguay,Baltazar Amaya,Ailier,68,false
2023,Uruguay,Bautista Basso  ,Ailier,62,false
2023,Uruguay,Ignacio Facciolo  ,Ailier,59,false
2023,Uruguay,Gastón Mieres,Arriere,65,false
2023,Uruguay,Rodrigo Silva,Arriere,59,false
2023,Afrique_du_Sud,Steven Kitshoff,Pilier,89,false
2023,Afrique_du_Sud,Vincent Koch,Pilier,87,false
2023,Afrique_du_Sud,Frans Malherbe,Pilier,89,false
2023,Afrique_du_Sud,Ox Nché,Pilier,89,false
2023,Afrique_du_Sud,Trevor Nyakane,Pilier,77,false
2023,Afrique_du_Sud,Bongi Mbonambi,Talonneur,88,false
2023,Afrique_du_Sud,Malcolm Marx  ,Talonneur,93,false
2023,Afrique_du_Sud,Eben Etzebeth,DeuxiemeLigne,97,false
2023,Afrique_du_Sud,Jean Kleyn,DeuxiemeLigne,86,false
2023,Afrique_du_Sud,Franco Mostert,DeuxiemeLigne,88,false
2023,Afrique_du_Sud,Marvin Orie,DeuxiemeLigne,81,false
2023,Afrique_du_Sud,RG Snyman,DeuxiemeLigne,91,false
2023,Afrique_du_Sud,Pieter-Steph du Toit,TroisiemeLigneAile,96,false
2023,Afrique_du_Sud,Deon Fourie,TroisiemeLigneAile,88,false
2023,Afrique_du_Sud,Siya Kolisi  ,TroisiemeLigneAile,92,false
2023,Afrique_du_Sud,Kwagga Smith,TroisiemeLigneAile,88,false
2023,Afrique_du_Sud,Marco van Staden,TroisiemeLigneAile,83,false
2023,Afrique_du_Sud,Duane Vermeulen,TroisiemeLigneCentre,88,false
2023,Afrique_du_Sud,Jasper Wiese,TroisiemeLigneCentre,87,false
2023,Afrique_du_Sud,Faf de Klerk,DemiDeMelee,88,false
2023,Afrique_du_Sud,Jaden Hendrikse,DemiDeMelee,83,false
2023,Afrique_du_Sud,Cobus Reinach,DemiDeMelee,84,false
2023,Afrique_du_Sud,Grant Williams,DemiDeMelee,78,false
2023,Afrique_du_Sud,Manie Libbok,DemiOuverture,87,true
2023,Afrique_du_Sud,Handré Pollard,DemiOuverture,91,true
2023,Afrique_du_Sud,Damian Willemse,DemiOuverture,78,true
2023,Afrique_du_Sud,Damian de Allende,Centre,91,false
2023,Afrique_du_Sud,Lukhanyo Am,Centre,88,false
2023,Afrique_du_Sud,André Esterhuizen,Centre,79,false
2023,Afrique_du_Sud,Jesse Kriel,Centre,88,false
2023,Afrique_du_Sud,Kurt-Lee Arendse,Ailier,89,false
2023,Afrique_du_Sud,Cheslin Kolbe,Ailier,95,false
2023,Afrique_du_Sud,Makazole Mapimpi  ,Ailier,87,false
2023,Afrique_du_Sud,Canan Moodie,Ailier,78,false
2023,Afrique_du_Sud,Willie le Roux,Arriere,87,false
2023,Écosse,Jamie Bhatti,Pilier,78,false
2023,Écosse,Zander Fagerson,Pilier,86,false
2023,Écosse,WP Nel,Pilier,75,false
2023,Écosse,Pierre Schoeman,Pilier,85,false
2023,Écosse,Javan Sebastian,Pilier,72,false
2023,Écosse,Rory Sutherland,Pilier,72,false
2023,Écosse,Ewan Ashman,Talonneur,84,false
2023,Écosse,David Cherry  ,Talonneur,78,false
2023,Écosse,Johnny Matthews,Talonneur,74,false
2023,Écosse,Stuart McInally  ,Talonneur,74,false
2023,Écosse,George Turner,Talonneur,71,false
2023,Écosse,Scott Cummings,DeuxiemeLigne,80,false
2023,Écosse,Grant Gilchrist,DeuxiemeLigne,82,false
2023,Écosse,Richie Gray,DeuxiemeLigne,85,false
2023,Écosse,Sam Skinner,DeuxiemeLigne,74,false
2023,Écosse,Luke Crosbie,TroisiemeLigneAile,81,false
2023,Écosse,Rory Darge,TroisiemeLigneAile,83,false
2023,Écosse,Jamie Ritchie  ,TroisiemeLigneAile,85,false
2023,Écosse,Hamish Watson,TroisiemeLigneAile,84,false
2023,Écosse,Jack Dempsey,TroisiemeLigneCentre,81,false
2023,Écosse,Matt Fagerson,TroisiemeLigneCentre,71,false
2023,Écosse,George Horne,DemiDeMelee,79,true
2023,Écosse,Ali Price,DemiDeMelee,81,false
2023,Écosse,Ben White,DemiDeMelee,83,false
2023,Écosse,Ben Healy,DemiOuverture,85,true
2023,Écosse,Finn Russell,DemiOuverture,91,true
2023,Écosse,Chris Harris,Centre,82,false
2023,Écosse,Huw Jones,Centre,85,false
2023,Écosse,Cameron Redpath,Centre,78,false
2023,Écosse,Sione Tuipulotu,Centre,86,false
2023,Écosse,Darcy Graham,Ailier,85,false
2023,Écosse,Kyle Steyn,Ailier,80,false
2023,Écosse,Duhan van der Merwe,Ailier,90,false
2023,Écosse,Blair Kinghorn,Arriere,86,true
2023,Écosse,Ollie Smith,Arriere,77,false
2023,Irlande,Finlay Bealham,Pilier,84,false
2023,Irlande,Tadhg Furlong,Pilier,94,false
2023,Irlande,David Kilcoyne,Pilier,86,false
2023,Irlande,Jeremy Loughman,Pilier,81,false
2023,Irlande,Tom O'Toole,Pilier,78,false
2023,Irlande,Andrew Porter,Pilier,89,false
2023,Irlande,Rob Herring,Talonneur,85,false
2023,Irlande,Rónan Kelleher,Talonneur,86,false
2023,Irlande,Dan Sheehan,Talonneur,93,false
2023,Irlande,Tadhg Beirne,DeuxiemeLigne,92,false
2023,Irlande,Iain Henderson,DeuxiemeLigne,87,false
2023,Irlande,Joe McCarthy,DeuxiemeLigne,80,false
2023,Irlande,James Ryan,DeuxiemeLigne,88,false
2023,Irlande,Ryan Baird,TroisiemeLigneAile,89,false
2023,Irlande,Peter O'Mahony,TroisiemeLigneAile,88,false
2023,Irlande,Josh van der Flier,TroisiemeLigneAile,92,false
2023,Irlande,Jack Conan,TroisiemeLigneCentre,87,false
2023,Irlande,Caelan Doris,TroisiemeLigneCentre,93,false
2023,Irlande,Craig Casey,DemiDeMelee,82,false
2023,Irlande,Jamison Gibson-Park,DemiDeMelee,91,false
2023,Irlande,Conor Murray,DemiDeMelee,85,true
2023,Irlande,Ross Byrne,DemiOuverture,88,true
2023,Irlande,Jack Crowley,DemiOuverture,85,true
2023,Irlande,Jonathan Sexton  ,DemiOuverture,94,true
2023,Irlande,Bundee Aki,Centre,94,false
2023,Irlande,Robbie Henshaw,Centre,88,false
2023,Irlande,Stuart McCloskey,Centre,84,false
2023,Irlande,Garry Ringrose,Centre,90,false
2023,Irlande,Keith Earls,Ailier,87,false
2023,Irlande,Mack Hansen,Ailier,90,false
2023,Irlande,James Lowe,Ailier,90,false
2023,Irlande,Hugo Keenan,Arriere,91,false
2023,Irlande,Jimmy O'Brien,Arriere,82,false
2023,Roumanie,Costel Burțilă,Pilier,62,false
2023,Roumanie,Thomas Crețu,Pilier,60,false
2023,Roumanie,Gheorghe Gajion,Pilier,55,false
2023,Roumanie,Alexandru Gordaș,Pilier,53,false
2023,Roumanie,Iulian Hartig  ,Pilier,51,false
2023,Roumanie,Alexandru Savin  ,Pilier,54,false
2023,Roumanie,Florin Bărdașu  ,Talonneur,61,false
2023,Roumanie,Ovidiu Cojocaru  ,Talonneur,56,false
2023,Roumanie,Rob Irimescu,Talonneur,50,false
2023,Roumanie,Ștefan Iancu  ,DeuxiemeLigne,58,false
2023,Roumanie,Marius Iftimiciuc,DeuxiemeLigne,54,false
2023,Roumanie,Adrian Moțoc,DeuxiemeLigne,55,false
2023,Roumanie,Cristi Boboc  ,TroisiemeLigneAile,63,false
2023,Roumanie,Mihai Macovei  ,TroisiemeLigneAile,67,false
2023,Roumanie,Vlad Neculau  ,TroisiemeLigneAile,57,false
2023,Roumanie,Florian Roșu  ,TroisiemeLigneAile,56,false
2023,Roumanie,Dragoș Ser  ,TroisiemeLigneAile,58,false
2023,Roumanie,Damian Strătilă  ,TroisiemeLigneAile,56,false
2023,Roumanie,Cristian Chirică  ,TroisiemeLigneCentre,68,false
2023,Roumanie,André Gorin,TroisiemeLigneCentre,55,false
2023,Roumanie,Alin Conache  ,DemiDeMelee,64,false
2023,Roumanie,Gabriel Rupanu  ,DemiDeMelee,59,false
2023,Roumanie,Florin Surugiu  ,DemiDeMelee,51,false
2023,Roumanie,Tudor Boldor  ,DemiOuverture,58,true
2023,Roumanie,Mihai Mureșan    ,DemiOuverture,59,true
2023,Roumanie,Luca Nichitean,DemiOuverture,53,true
2023,Roumanie,Gabriel Pop    ,DemiOuverture,51,true
2023,Roumanie,Alexandru Bucur  ,Centre,60,false
2023,Roumanie,Taylor Gontineac  ,Centre,66,false
2023,Roumanie,Mihai Graure,Centre,57,false
2023,Roumanie,Tevita Manumua  ,Centre,55,false
2023,Roumanie,Jason Tomane  ,Centre,55,false
2023,Roumanie,Nicolas Onuțu,Ailier,64,false
2023,Roumanie,Taliauli Sikuea  ,Ailier,62,false
2023,Roumanie,Marius Simionescu  ,Ailier,64,false
2023,Roumanie,Fonovai Tangimana  ,Ailier,64,false
2023,Roumanie,Sioeli Lama  ,Arriere,60,true
2023,Roumanie,Paul Popoaia    ,Arriere,55,false
2023,Roumanie,Hinckley Vaovasa    ,Arriere,66,false
2023,Tonga,Joe 'Apikotoa,Pilier,72,false
2023,Tonga,Siegfried Fisi'ihoi,Pilier,73,false
2023,Tonga,Feao Fotuaika  ,Pilier,72,false
2023,Tonga,Tau Koloamatangi,Pilier,66,false
2023,Tonga,Paula Latu  ,Pilier,67,false
2023,Tonga,Ben Tameifuna,Pilier,81,false
2023,Tonga,Siate Tokolahi,Pilier,67,false
2023,Tonga,Sione Anga'aelangi,Talonneur,75,false
2023,Tonga,Siua Maile  ,Talonneur,70,false
2023,Tonga,Sam Moli,Talonneur,69,false
2023,Tonga,Paula Ngauamo,Talonneur,66,false
2023,Tonga,Adam Coleman,DeuxiemeLigne,74,false
2023,Tonga,Leva Fifita,DeuxiemeLigne,70,false
2023,Tonga,Sam Lousi,DeuxiemeLigne,65,false
2023,Tonga,Steve Mafi,DeuxiemeLigne,66,false
2023,Tonga,Penitoa Finau,TroisiemeLigneAile,74,false
2023,Tonga,Solomone Funaki    ,TroisiemeLigneAile,70,false
2023,Tonga,Tanginoa Halaifonua,TroisiemeLigneAile,71,false
2023,Tonga,Sione Havili Talitui,TroisiemeLigneAile,68,false
2023,Tonga,Semisi Paea  ,TroisiemeLigneAile,65,false
2023,Tonga,Vaea Fifita,TroisiemeLigneCentre,82,false
2023,Tonga,Sione Vailanu,TroisiemeLigneCentre,64,false
2023,Tonga,Manu Paea,DemiDeMelee,72,false
2023,Tonga,Augustine Pulu,DemiDeMelee,66,false
2023,Tonga,Sonatane Takulua  ,DemiDeMelee,78,true
2023,Tonga,William Havili,DemiOuverture,75,true
2023,Tonga,Otumaka Mausia    ,DemiOuverture,67,true
2023,Tonga,Patrick Pellegrini,DemiOuverture,64,true
2023,Tonga,Pita Ahki,Centre,80,false
2023,Tonga,Malakai Fekitoa,Centre,82,false
2023,Tonga,George Moala,Centre,81,false
2023,Tonga,Afusipa Taumoepeau,Centre,64,false
2023,Tonga,Fine Inisi,Ailier,75,false
2023,Tonga,Solomone Kata,Ailier,80,false
2023,Tonga,Kyren Taumoefolau,Ailier,64,false
2023,Tonga,Anzelo Tuitavuki,Ailier,66,false
2023,Tonga,Charles Piutau,Arriere,84,false
2023,Australie,Angus Bell,Pilier,85,false
2023,Australie,Pone Fa'amausili,Pilier,79,false
2023,Australie,Zane Nonggorr,Pilier,74,false
2023,Australie,Blake Schoupp,Pilier,77,false
2023,Australie,James Slipper,Pilier,74,false
2023,Australie,Taniela Tupou,Pilier,86,false
2023,Australie,Matt Faessler,Talonneur,80,false
2023,Australie,David Porecki,Talonneur,75,false
2023,Australie,Jordan Uelese,Talonneur,70,false
2023,Australie,Richie Arnold,DeuxiemeLigne,78,false
2023,Australie,Nick Frost,DeuxiemeLigne,76,false
2023,Australie,Matt Philip,DeuxiemeLigne,72,false
2023,Australie,Will Skelton  ,DeuxiemeLigne,87,false
2023,Australie,Tom Hooper,TroisiemeLigneAile,81,false
2023,Australie,Josh Kemeny,TroisiemeLigneAile,77,false
2023,Australie,Rob Leota,TroisiemeLigneAile,77,false
2023,Australie,Fraser McReight,TroisiemeLigneAile,84,false
2023,Australie,Langi Gleeson,TroisiemeLigneCentre,79,false
2023,Australie,Rob Valetini,TroisiemeLigneCentre,87,false
2023,Australie,Issak Fines-Leleiwasa,DemiDeMelee,78,false
2023,Australie,Tate McDermott,DemiDeMelee,74,false
2023,Australie,Nic White,DemiDeMelee,71,true
2023,Australie,Ben Donaldson,DemiOuverture,80,true
2023,Australie,Carter Gordon,DemiOuverture,78,true
2023,Australie,Lalakai Foketi,Centre,77,false
2023,Australie,Samu Kerevi,Centre,86,false
2023,Australie,Izaia Perese,Centre,71,false
2023,Australie,Jordan Petaia,Centre,83,false
2023,Australie,Marika Koroibete,Ailier,86,false
2023,Australie,Mark Nawaqanitawase,Ailier,85,false
2023,Australie,Suliasi Vunivalu,Ailier,72,false
2023,Australie,Max Jorgensen  ,Arriere,78,false
2023,Australie,Andrew Kellaway,Arriere,75,false
2023,Fidji,Mesake Doge,Pilier,78,false
2023,Fidji,Jone Koroiduadua  ,Pilier,68,false
2023,Fidji,Eroni Mawi,Pilier,82,false
2023,Fidji,Peni Ravai,Pilier,75,false
2023,Fidji,Luke Tagi,Pilier,73,false
2023,Fidji,Samu Tawake,Pilier,71,false
2023,Fidji,Emosi Tuqiri,Pilier,69,false
2023,Fidji,Tevita Ikanivere,Talonneur,78,false
2023,Fidji,Sam Matavesi,Talonneur,70,false
2023,Fidji,Zuriel Togiatama,Talonneur,70,false
2023,Fidji,Te Ahiwaru Cirikidaveta,DeuxiemeLigne,75,false
2023,Fidji,Temo Mayanavanua  ,DeuxiemeLigne,76,false
2023,Fidji,Isoa Nasilasila,DeuxiemeLigne,72,false
2023,Fidji,Api Ratuniyarawa,DeuxiemeLigne,72,false
2023,Fidji,Levani Botia,TroisiemeLigneAile,86,false
2023,Fidji,Meli Derenalagi,TroisiemeLigneAile,78,false
2023,Fidji,Vilive Miramira,TroisiemeLigneAile,75,false
2023,Fidji,Lekima Tagitagivalu,TroisiemeLigneAile,68,false
2023,Fidji,Viliame Mata,TroisiemeLigneCentre,86,false
2023,Fidji,Albert Tuisue,TroisiemeLigneCentre,72,false
2023,Fidji,Simione Kuruvoli,DemiDeMelee,80,true
2023,Fidji,Frank Lomani,DemiDeMelee,82,false
2023,Fidji,Peni Matawalu,DemiDeMelee,73,false
2023,Fidji,Caleb Muntz  ,DemiOuverture,78,true
2023,Fidji,Teti Tela,DemiOuverture,68,true
2023,Fidji,Vilimoni Botitu,Centre,78,false
2023,Fidji,Iosefo Masi,Centre,83,false
2023,Fidji,Waisea Nayacalevu  ,Centre,85,false
2023,Fidji,Semi Radradra,Centre,86,false
2023,Fidji,Kalaveti Ravouvou,Centre,70,false
2023,Fidji,Josua Tuisova,Centre,87,false
2023,Fidji,Vinaya Habosi,Ailier,75,false
2023,Fidji,Selestino Ravutaumada,Ailier,80,false
2023,Fidji,Jiuta Wainiqolo,Ailier,82,false
2023,Fidji,Ilaisa Droasese,Arriere,77,false
2023,Fidji,Sireli Maqala,Arriere,81,false
2023,Pays_de_Galles,Corey Domachowski,Pilier,78,false
2023,Pays_de_Galles,Tomas Francis,Pilier,77,false
2023,Pays_de_Galles,Dillon Lewis,Pilier,76,false
2023,Pays_de_Galles,Gareth Thomas,Pilier,77,false
2023,Pays_de_Galles,Henry Thomas,Pilier,76,false
2023,Pays_de_Galles,Nicky Smith,Pilier,73,false
2023,Pays_de_Galles,Elliot Dee,Talonneur,77,false
2023,Pays_de_Galles,Ryan Elias,Talonneur,73,false
2023,Pays_de_Galles,Dewi Lake  ,Talonneur,83,false
2023,Pays_de_Galles,Adam Beard,DeuxiemeLigne,81,false
2023,Pays_de_Galles,Dafydd Jenkins,DeuxiemeLigne,78,false
2023,Pays_de_Galles,Will Rowlands,DeuxiemeLigne,86,false
2023,Pays_de_Galles,Christ Tshiunza,DeuxiemeLigne,70,false
2023,Pays_de_Galles,Taine Basham,TroisiemeLigneAile,83,false
2023,Pays_de_Galles,Dan Lydiate,TroisiemeLigneAile,80,false
2023,Pays_de_Galles,Jac Morgan  ,TroisiemeLigneAile,88,false
2023,Pays_de_Galles,Tommy Reffell,TroisiemeLigneAile,84,false
2023,Pays_de_Galles,Aaron Wainwright,TroisiemeLigneAile,72,false
2023,Pays_de_Galles,Taulupe Faletau  ,TroisiemeLigneCentre,87,false
2023,Pays_de_Galles,Gareth Davies,DemiDeMelee,82,true
2023,Pays_de_Galles,Kieran Hardy,DemiDeMelee,78,false
2023,Pays_de_Galles,Tomos Williams,DemiDeMelee,83,false
2023,Pays_de_Galles,Gareth Anscombe,DemiOuverture,84,true
2023,Pays_de_Galles,Dan Biggar,DemiOuverture,86,true
2023,Pays_de_Galles,Sam Costelow,DemiOuverture,72,true
2023,Pays_de_Galles,Mason Grady,Centre,82,false
2023,Pays_de_Galles,George North,Centre,84,false
2023,Pays_de_Galles,Nick Tompkins,Centre,75,false
2023,Pays_de_Galles,Johnny Williams,Centre,70,false
2023,Pays_de_Galles,Josh Adams,Ailier,83,false
2023,Pays_de_Galles,Rio Dyer,Ailier,78,false
2023,Pays_de_Galles,Louis Rees-Zammit,Ailier,86,false
2023,Pays_de_Galles,Leigh Halfpenny,Arriere,80,true
2023,Pays_de_Galles,Liam Williams,Arriere,85,false
2023,Géorgie,Nika Abuladze,Pilier,69,false
2023,Géorgie,Irakli Aptsiauri,Pilier,71,false
2023,Géorgie,Beka Gigashvili,Pilier,80,false
2023,Géorgie,Guram Gogichashvili,Pilier,66,false
2023,Géorgie,Luka Japaridze  ,Pilier,69,false
2023,Géorgie,Mikheil Nariashvili,Pilier,68,false
2023,Géorgie,Guram Papidze,Pilier,64,false
2023,Géorgie,Vano Karkadze,Talonneur,73,false
2023,Géorgie,Shalva Mamukashvili,Talonneur,70,false
